symbol;district;city;category
BI;Białystok;Białystok;miasto
BS;Suwałki;Suwałki;miasto
BL;Łomża;Łomża;miasto
BAU;augustowski;Augustów;miasto lub powiat
BIA;białostocki;Białystok;powiat
BBI;bielski;Bielsk Podlaski;miasto lub powiat
BGR;grajewski;Grajewo;miasto lub powiat
BHA;hajnowski;Hajnówka;miasto lub powiat
BKL;kolneński;Kolno;miasto lub powiat
BMN;moniecki;Mońki;miasto lub powiat
BSE;sejneński;Sejny;miasto lub powiat
BSI;siemiatycki;Siemiatycze;miasto lub powiat
BSK;sokólski;Sokółka;miasto lub powiat
BSU;suwalski;Suwałki;powiat
BWM;wysokomazowiecki;Wysokie Mazowieckie;miasto lub powiat
BZA;zambrowski;Zambrów;miasto lub powiat
BLM;łomżyński;Łomża;powiat
CB;Bydgoszcz;Bydgoszcz;miasto
CG;Grudziądz;Grudziądz;miasto
CT;Toruń;Toruń;miasto
CW;Włocławek;Włocławek;miasto
CAL;aleksandrowski;Aleksandrów Kujawski;miasto lub powiat
CBR;brodnicki;Brodnica;miasto lub powiat
CBY;bydgoski;Bydgoszcz;powiat
CCH;chełmiński;Chełmno;miasto lub powiat
CGD;golubsko-dobrzyński;Golub Dobrzyń;miasto lub powiat
CGR;grudziądzki;Grudziądz;miasto lub powiat
CIN;inowrocławski;Inowrocław;miasto lub powiat
CLI;lipnowski;Lipno;miasto lub powiat
CMG;mogileński;Mogilno;miasto lub powiat
CNA;nakielski;Nakło nad Notecią;miasto lub powiat
CRA;radziejowski;Radziejów;miasto lub powiat
CRY;rypiński;Rypin;miasto lub powiat
CSE;sępoleński;Sępolno krajeńskie;miasto lub powiat
CSW;świecki;Świecie;miasto lub powiat
CTR;toruński;Toruń;powiat
CTU;tucholski;Tuchola;miasto lub powiat
CWA;wąbrzeski;Wąbrzeźno;miasto lub powiat
CWL;włocławski;Włocławek;miasto lub powiat
CZN;żniński;Żnin;miasto lub powiat
DJ;Jelenia Góra;Jelenia Góra;miasto
DL;Legnica;Legnica;miasto
DB;Wałbrzych;Wałbrzych;miasto
DW;Wrocław;Wrocław;miasto
DBL;bolesławiecki;Bolesławiec;miasto lub powiat
DDZ;dzierżoniowski;Dzierżoniów;miasto lub powiat
DGR;górowski;Góra;miasto lub powiat
DGL;głogowski;Głogów;miasto lub powiat
DJA;jaworski;Jawor;miasto lub powiat
DJE;jeleniogórski;Jelenia Góra;powiat
DKA;kamiennogórski;Kamienna Góra;miasto lub powiat
DKL;kłodzki;Kłodzko;miasto lub powiat
DLE;legnicki;Legnica;powiat
DLB;lubański;Lubań;miasto lub powiat
DLU;lubiński;Lubin;miasto lub powiat
DLW;lwówecki;Lwówek Śląski;miasto lub powiat
DMI;milicki;Milicz;miasto lub powiat
DOL;oleśnicki;Oleśnica;miasto lub powiat
DOA;oławski;Oława;miasto lub powiat
DPL;polkowicki;Polkowice;miasto lub powiat
DSR;średzki;Środa Śląska;miasto lub powiat
DST;strzeliński;Strzelin;miasto lub powiat
DSW;świdnicki;Świdnica;miasto lub powiat
DTR;trzebnicki;Trzebnica;miasto lub powiat
DBA;wałbrzyski;Wałbrzych;powiat
DWL;wołowski;Wołów;miasto lub powiat
DWR;wrocławski;Wrocław;powiat
DZA;ząbkowicki;Ząbkowice Ślaskie;miasto lub powiat
DZG;zgorzelecki;Zgorzelec;miasto lub powiat
DZL;złotoryjski;Złotoryja;miasto lub powiat
EP;Piotrków Trybunalski;Piotrków Trybunalski;miasto
ES;Skierniewice;Skierniewice;miasto
EL;Łódź;Łódź;miasto
EBE;bełchatowski;Bełchatów;miasto lub powiat
EBR;brzeziński;Brzeziny;miasto lub powiat
EKU;kutnowski;Kutno;miasto lub powiat
EOP;opoczyński;Opoczno;miasto lub powiat
EPA;pabianicki;Pabianice;miasto lub powiat
EPJ;pajęczański;Pajęczno;miasto lub powiat
EPI;piotrkowski;Piotrków Trybunalski;powiat
EPD;poddębicki;Poddębice;miasto lub powiat
ERA;radomszczański;Radomsko;miasto lub powiat
ERW;rawski;Rawa Mazowiecka;miasto lub powiat
ESI;sieradzki;Sieradz;miasto lub powiat
ESK;skierniewicki;Skierniewice;powiat
ETM;tomaszowski;Tomaszów Mazowiecki;miasto lub powiat
EWI;wieluński;Wieluń;miasto lub powiat
EWE;wieruszowski;Wieruszów;miasto lub powiat
EZD;zduńskowolski;Zduńska Wola;miasto lub powiat
EZG;zgierski;Zgierz;miasto lub powiat
ELA;łaski;Łask;miasto lub powiat
ELE;łęczycki;Łęczyca;miasto lub powiat
ELW;łódzki wschodni;Łódź Wschód;miasto lub powiat
ELC;łowicki;Łowicz;miasto lub powiat
FG;Gorzów Wielkopolski;Gorzów Wielkopolski;miasto
FZ;Zielona Góra;Zielona Góra;miasto
FGW;gorzowski;Gorzów Wielkopolski;powiat
FKR;krośnieński;Krosno Odrzańskie;miasto lub powiat
FMI;międzyrzecki;Międzyrzecz;miasto lub powiat
FNW;nowosolski;Nowa Sól;miasto lub powiat
FSD;strzelecko-drezdenecki;Strzelce Krajeńskie;miasto lub powiat
FSU;sulęciński;Sulęcin;miasto lub powiat
FSW;świebodziński;Świebodzin;miasto lub powiat
FSL;słubicki;Słubice;miasto lub powiat
FWS;wschowski;Wschowa;miasto lub powiat
